junge	9.498316207581383E-4	7.431629013079667E-4	1.0976948408342481E-5	3.2446463335496436E-5
gewagte	8.634832915983076E-6	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
eigene	7.771349624384769E-4	0.00267538644470868	1.0976948408342481E-5	3.2446463335496436E-5
einzige	0.0012952249373974613	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
interessierte	8.634832915983076E-5	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
großen	2.5904498747949227E-4	0.0022294887039239	0.0025246981339187707	0.0025957170668397143
finanzielle	8.634832915983076E-5	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
einzelnen	8.634832915983076E-5	4.4589774078478004E-4	8.781558726673985E-4	9.73393900064893E-4
verschiedenen	8.634832915983076E-5	5.945303210463733E-4	9.879253567508233E-4	3.244646333549643E-4
berühmte	8.634832915983076E-5	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
weltweiten	8.634832915983076E-6	1.4863258026159333E-4	2.195389681668496E-4	3.2446463335496436E-5
neue	0.003540281495553061	0.005648038049940547	2.195389681668496E-4	3.2446463335496436E-5
indischen	8.634832915983076E-6	1.4863258026159334E-5	1.0976948408342481E-5	3.244646333549643E-4
eigenen	8.634832915983076E-5	7.431629013079667E-4	0.002414928649835346	0.0012978585334198572
klassische	8.634832915983076E-6	5.945303210463733E-4	1.0976948408342481E-5	3.2446463335496436E-5
weitesten	8.634832915983076E-6	1.4863258026159334E-5	1.097694840834248E-4	3.2446463335496436E-5
progressive	8.634832915983076E-5	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
neuen	4.3174164579915376E-4	0.00267538644470868	0.0031833150384193193	0.0055158987670343934
künstlerische	1.7269665831966152E-4	4.4589774078478004E-4	1.0976948408342481E-5	3.2446463335496436E-5
ersten	5.180899749589845E-4	0.002526753864447087	0.005268935236004391	0.0035691109669046075
unbegrenzte	8.634832915983076E-6	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
abgeschlossenes	8.634832915983076E-6	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
minimalistischen	8.634832915983076E-5	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
voller	8.634832915983076E-6	1.4863258026159333E-4	3.2930845225027445E-4	0.0016223231667748216
folkloristischen	8.634832915983076E-5	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
asiatische	8.634832915983076E-6	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
afrikanische	8.634832915983076E-6	2.9726516052318666E-4	1.0976948408342481E-5	3.2446463335496436E-5
erklingenden	8.634832915983076E-5	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
ironische	8.634832915983076E-5	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
starken	8.634832915983076E-6	2.9726516052318666E-4	2.195389681668496E-4	3.2446463335496436E-5
percussive	1.7269665831966152E-4	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
genudelten	8.634832915983076E-6	1.4863258026159334E-5	1.0976948408342481E-5	3.244646333549643E-4
musikalische	6.044383041188153E-4	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
düster-ironischen	8.634832915983076E-6	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
szenischen	8.634832915983076E-6	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
durchgeknallten	8.634832915983076E-6	1.4863258026159334E-5	1.097694840834248E-4	3.2446463335496436E-5
religiöses	8.634832915983076E-6	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
wütenden	8.634832915983076E-6	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
wichtigste	2.5904498747949227E-4	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
faszinierend-alptraumartige	8.634832915983076E-5	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
minimalistischem	8.634832915983076E-6	1.4863258026159334E-5	1.097694840834248E-4	3.2446463335496436E-5
vorüberfahrenden	8.634832915983076E-6	1.4863258026159334E-5	1.097694840834248E-4	3.2446463335496436E-5
unheimliche	8.634832915983076E-6	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
flotteren	8.634832915983076E-5	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
ganze	7.771349624384769E-4	0.0017835909631391202	1.0976948408342481E-5	3.2446463335496436E-5
reinen	8.634832915983076E-5	2.9726516052318666E-4	3.2930845225027445E-4	3.244646333549643E-4
kaputter	8.634832915983076E-6	1.4863258026159334E-5	1.0976948408342481E-5	3.244646333549643E-4
27jährige	1.7269665831966152E-4	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
wiederholte	8.634832915983076E-6	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
ermordeten	8.634832915983076E-6	1.4863258026159333E-4	1.0976948408342481E-5	3.244646333549643E-4
sarkastischen	8.634832915983076E-6	1.4863258026159333E-4	1.0976948408342481E-5	3.2446463335496436E-5
grausamer	8.634832915983076E-5	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
griechischen	8.634832915983076E-6	1.4863258026159334E-5	1.097694840834248E-4	3.244646333549643E-4
erfolgreicher	2.5904498747949227E-4	1.4863258026159334E-5	1.097694840834248E-4	3.2446463335496436E-5
