$,	Akk	0.07702479338842975
$,	Dat	0.04016528925619835
$,	Gen	0.008099173553719008
$,	Nom	0.13289256198347107
$.	Akk	0.03779958179186103
$.	Dat	0.010133504905903168
$.	Gen	0.010616052758565224
$.	Nom	0.404696799099244
*	Akk	0.03414634146341464
*	Dat	0.06829268292682927
*	Gen	0.05853658536585366
*	Nom	0.22926829268292684
APPO	Akk	0.05555555555555555
APPO	Dat	0.08333333333333333
APPO	Gen	0.027777777777777776
APPO	Nom	0.1111111111111111
APPR	Akk	0.2406816932380429
APPR	Dat	0.5983507421660252
APPR	Gen	0.02451896646509071
APPR	Nom	0.023859263331500825
APPRART	Akk	0.044407894736842105
APPRART	Dat	0.9111842105263158
APPRART	Nom	0.012609649122807017
Akk	$,	0.10166468489892984
Akk	$.	0.10374554102259215
Akk	*	8.917954815695601E-4
Akk	APPO	5.945303210463733E-4
Akk	APPR	0.21016646848989298
Akk	APPRART	0.039387633769322236
Akk	Akk	0.032699167657550536
Akk	Dat	0.00847205707491082
Akk	Gen	0.08843638525564804
Akk	KOKOM	0.00535077288941736
Akk	KON	0.05618311533888228
Akk	KOUS	1.4863258026159333E-4
Akk	Nom	0.06911414982164091
Akk	PDS	4.4589774078478004E-4
Akk	PIS	0.00267538644470868
Akk	PTKZU	0.03151010701545779
Akk	PWAV	2.9726516052318666E-4
Akk	VAFIN	0.02318668252080856
Akk	VAINF	0.0011890606420927466
Akk	VAPP	0.0011890606420927466
Akk	VMFIN	0.0077288941736028535
Akk	VMINF	1.4863258026159333E-4
Akk	VMPP	1.4863258026159333E-4
Akk	VVFIN	0.07996432818073722
Akk	VVINF	0.061533888228299645
Akk	VVIZU	0.012187871581450654
Akk	VVPP	0.06093935790725327
Dat	$,	0.10384193194291987
Dat	$.	0.10614709110867179
Dat	*	0.0010976948408342481
Dat	APPO	0.0020856201975850714
Dat	APPR	0.15246981339187707
Dat	APPRART	0.031174533479692644
Dat	Akk	0.052799121844127335
Dat	Dat	0.05323819978046103
Dat	Gen	0.08430296377607026
Dat	KOKOM	0.0031833150384193193
Dat	KON	0.06827661909989023
Dat	KOUS	3.2930845225027445E-4
Dat	Nom	0.07069154774972558
Dat	PDS	9.879253567508233E-4
Dat	PIS	0.004171240395170143
Dat	PRELS	3.2930845225027445E-4
Dat	PTKZU	0.016575192096597146
Dat	PWAV	8.781558726673985E-4
Dat	PWS	1.097694840834248E-4
Dat	VAFIN	0.0437980241492865
Dat	VAINF	0.0019758507135016466
Dat	VAPP	0.001646542261251372
Dat	VMFIN	0.012184412733260154
Dat	VVFIN	0.09308452250274424
Dat	VVIMP	2.195389681668496E-4
Dat	VVINF	0.029857299670691548
Dat	VVIZU	0.00570801317233809
Dat	VVPP	0.0588364434687157
Gen	$,	0.12167423750811161
Gen	$.	0.12134977287475665
Gen	*	0.001946787800129786
Gen	APPO	0.001946787800129786
Gen	APPR	0.16515249837767684
Gen	APPRART	0.02855288773523686
Gen	Akk	0.028228423101881894
Gen	Dat	0.020116807268007787
Gen	Gen	0.08857884490590526
Gen	KOKOM	0.0029201817001946787
Gen	KON	0.05645684620376379
Gen	KOUS	3.244646333549643E-4
Gen	Nom	0.07689811810512655
Gen	PIS	0.0016223231667748216
Gen	PRELS	3.244646333549643E-4
Gen	PTKZU	0.018494484101232965
Gen	PWAV	6.489292667099286E-4
Gen	PWS	3.244646333549643E-4
Gen	VAFIN	0.055807916937053864
Gen	VAINF	0.003244646333549643
Gen	VAPP	0.0025957170668397143
Gen	VMFIN	0.01881894873458793
Gen	VVFIN	0.09863724853990916
Gen	VVINF	0.03017521090201168
Gen	VVIZU	0.004218040233614536
Gen	VVPP	0.050940947436729396
KOKOM	Akk	0.13975155279503104
KOKOM	Dat	0.062111801242236024
KOKOM	Gen	0.018633540372670808
KOKOM	Nom	0.30434782608695654
KON	Akk	0.15261813537675606
KON	Dat	0.17656449553001277
KON	Gen	0.04725415070242656
KON	Nom	0.2570242656449553
KOUI	Akk	0.5407407407407407
KOUI	Dat	0.11851851851851852
KOUI	Nom	0.014814814814814815
KOUS	Akk	0.03811659192825112
KOUS	Dat	0.01905829596412556
KOUS	Gen	0.006726457399103139
KOUS	Nom	0.7230941704035875
Nom	$,	0.10620844486659183
Nom	$.	0.07710905793972887
Nom	*	0.0027631465331145843
Nom	APPO	1.7269665831966152E-4
Nom	APPR	0.16414817373283827
Nom	APPRART	0.03263966842241603
Nom	Akk	0.06312062861583628
Nom	Dat	0.012002417753216475
Nom	Gen	0.07184180986097918
Nom	KOKOM	0.0030221915205940766
Nom	KON	0.0468871427337881
Nom	KOUI	8.634832915983076E-5
Nom	KOUS	2.5904498747949227E-4
Nom	Nom	0.1467921595717123
Nom	PDS	0.0013815732665572922
Nom	PIS	0.003540281495553061
Nom	PPOSS	8.634832915983076E-5
Nom	PRELS	8.634832915983076E-5
Nom	PTKZU	0.00345393316639323
Nom	PWAV	3.4539331663932304E-4
Nom	VAFIN	0.08194456437267938
Nom	VAINF	0.003194888178913738
Nom	VAPP	0.0013815732665572922
Nom	VMFIN	0.021155340644158537
Nom	VVFIN	0.11216647957862015
Nom	VVIMP	4.3174164579915376E-4
Nom	VVINF	0.012002417753216475
Nom	VVIZU	1.7269665831966152E-4
Nom	VVPP	0.03160348847249806
PDS	Akk	0.0196078431372549
PDS	Dat	0.004901960784313725
PDS	Gen	0.02696078431372549
PDS	Nom	0.029411764705882353
PIS	Akk	0.1099554234769688
PIS	Dat	0.008915304606240713
PIS	Gen	0.06983655274888559
PIS	Nom	0.04606240713224369
