diese	0.006044383041188153	0.007134363852556481	1.0976948408342481E-5	3.2446463335496436E-5
derselben	8.634832915983076E-6	1.4863258026159334E-5	1.0976948408342481E-5	3.244646333549643E-4
jene	4.3174164579915376E-4	8.917954815695601E-4	1.0976948408342481E-5	3.2446463335496436E-5
dieser	0.0016406182540367844	1.4863258026159334E-5	0.0043907793633369925	0.008436080467229072
dieses	0.0012952249373974613	0.00267538644470868	1.0976948408342481E-5	0.005191434133679429
diesem	8.634832915983076E-6	2.9726516052318666E-4	0.006915477497255763	3.2446463335496436E-5
diesen	8.634832915983076E-6	0.0022294887039239	0.0025246981339187707	3.244646333549643E-4
dessen	1.7269665831966152E-4	2.9726516052318666E-4	2.195389681668496E-4	3.2446463335496436E-5
jenen	8.634832915983076E-6	2.9726516052318666E-4	2.195389681668496E-4	3.2446463335496436E-5
jener	8.634832915983076E-6	1.4863258026159334E-5	1.0976948408342481E-5	0.0012978585334198572
jenem	8.634832915983076E-6	1.4863258026159334E-5	5.488474204171241E-4	3.2446463335496436E-5
deren	8.634832915983076E-5	2.9726516052318666E-4	5.488474204171241E-4	3.2446463335496436E-5
dieselbe	8.634832915983076E-5	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
jenes	1.7269665831966152E-4	1.4863258026159334E-5	1.0976948408342481E-5	3.244646333549643E-4
diejenigen	8.634832915983076E-5	1.4863258026159334E-5	1.0976948408342481E-5	3.2446463335496436E-5
